Description ,Score
Uses axe body spray,5
eyebrow piercing,3
smokes cigs/vapes,4
Cross Jewlery,3
cuffed jeans,1
red flag cars,2
truck nuts,3
doesn't wipe ass,6
dyed hair,2
3 in 1 bodywash,2
Wraparound sunglasses,3
wears pearl necklace,2
white guy with a perm,5
white guy with a fade,4
ripped jeans,4
wears timbs,2
wears dr martins,4
vineyard vines,4
wears carhartt,3
no eyebrows,6
ginger,4
dyed hair bright red,3
considers himself an eboy,6
neck beards,6
uses products from lush,5
puffer jackets,2
can't grow a beard and tries,5
has stick and poke tattoos,4
paints nails,5
