Description ,Score
No Male friends,4
Blames the jews,6
control freak,4
crystals/horoscopes,5
played football,2
played lacrosse,3
ridiculous high snap score,2
talks about exes obsessively,4
Plays league of legends ,5
plays pool seriously,3
treats service poorly,6
addicted to social media,5
Mommy issues,5
Daddy issues,5
not close too mother/too close to mother,3
only child,2
Can't hold conversation,4
Girl best friend (too close),3
Intimately close with sister,5
overly jealous,4
not jealous at all,3
Only talks about high school,5
allows his friends to cheat/covers,6
Bible verse in bio,5
won't buy plan b,6
refuse to pay for abortion,6
refuses to wear condom,6
uses xxl condoms (doesn't need them),5
proud of rice purity score,5
weaboo,4
obsessed with any asian culture,5
favorite movie is wolf of wall street,5
hates feminism,6
"""saturdays are for the boys""",4
only fans subscription,5
plays golf,4
didn't watch spongebob as a kid (and proud of it),6
has a podcast,5
worships joe rogan,5
"uses the word ""female""",6
"""woman moment""",6
"into ""butt stuff""",4
runner,3
turns phone away when in use,5
plays COD,3
plays rust,5
doesn't introduce you to their friends,5
in a really bad indie band,5
thinks hes literally patrick bateman,6
watched idubbz or filthy frank,6
posts thirst traps,6
andrew tate,6
uses tiktok,3
he/them,5
keeps track of snap score,5
frat,4
good at geogeusser,5
uses slay unironically,5
